# ----------------------------------------
# Wyeksportowany raport w formacie CSV
# Konto: RYCHoo
# Usługa: RYCHoo.TheUnixPlace.com
# ----------------------------------------
# 
# Wszyscy użytkownicy
# Data rozpoczęcia: 20230926
# Data zakończenia: 20240926
Kraj,Aktywni użytkownicy,Nowi użytkownicy,Sesje z zaangażowaniem,Współczynnik zaangażowania,Sesje z zaangażowaniem na aktywnego użytkownika,Średni czas zaangażowania na aktywnego użytkownika,Liczba zdarzeń,Kluczowe zdarzenia,Współczynnik kluczowych zdarzeń związanych z użytkownikiem,Łączne przychody
South Africa,359,359,25,0.06887052341597796,0.06963788300835655,1.6935933147632312,1157,0,0,0
Poland,259,250,397,0.5025316455696203,1.5328185328185329,118.1930501930502,3726,0,0,0
United States,82,80,16,0.1927710843373494,0.1951219512195122,5.121951219512195,305,0,0,0
Morocco,64,64,1,0.015625,0.015625,0,197,0,0,0
Qatar,29,29,0,0,0,0,87,0,0,0
France,19,18,6,0.3157894736842105,0.3157894736842105,8.736842105263158,79,0,0,0
Netherlands,17,15,3,0.17647058823529413,0.17647058823529413,10.411764705882353,64,0,0,0
China,14,12,0,0,0,0.35714285714285715,41,0,0,0
Czechia,13,10,7,0.3333333333333333,0.5384615384615384,16.76923076923077,119,0,0,0
Finland,11,10,2,0.18181818181818182,0.18181818181818182,11.454545454545455,40,0,0,0
Austria,7,7,4,0.5,0.5714285714285714,31.714285714285715,44,0,0,0
Germany,6,6,4,0.5,0.6666666666666666,11.833333333333334,29,0,0,0
India,6,6,6,1,1,25.833333333333332,38,0,0,0
Turkmenistan,6,5,5,0.8333333333333334,0.8333333333333334,4.833333333333333,25,0,0,0
Ireland,5,5,2,0.4,0.4,19.6,24,0,0,0
United Kingdom,5,4,5,0.7142857142857143,1,81.2,25,0,0,0
Iran,3,3,3,1,1,10.333333333333334,15,0,0,0
United Arab Emirates,3,3,1,0.25,0.3333333333333333,6.666666666666667,14,0,0,0
(not set),2,2,0,0,0,0,8,0,0,0
Indonesia,2,2,0,0,0,0,7,0,0,0
Luxembourg,2,0,1,0.5,0.5,0,5,0,0,0
Russia,2,1,0,0,0,0,5,0,0,0
Singapore,2,2,0,0,0,0,8,0,0,0
Bangladesh,1,1,0,0,0,0,4,0,0,0
Belgium,1,1,0,0,0,0,4,0,0,0
Denmark,1,1,0,0,0,0,3,0,0,0
Isle of Man,1,1,1,1,1,39,5,0,0,0
Jamaica,1,1,0,0,0,0,3,0,0,0
Japan,1,1,1,1,1,0,6,0,0,0
Seychelles,1,1,0,0,0,0,4,0,0,0
Western Sahara,1,1,0,0,0,0,3,0,0,0

# Wszyscy użytkownicy
# Data rozpoczęcia: 20220927
# Data zakończenia: 20230928
Kraj,Aktywni użytkownicy,Nowi użytkownicy,Sesje z zaangażowaniem,Współczynnik zaangażowania,Sesje z zaangażowaniem na aktywnego użytkownika,Średni czas zaangażowania na aktywnego użytkownika,Liczba zdarzeń,Kluczowe zdarzenia,Współczynnik kluczowych zdarzeń związanych z użytkownikiem,Łączne przychody
South Africa,0,0,0,0,0,0,0,0,0,0
Poland,26,26,22,0.6875,0.8461538461538461,47.03846153846154,132,0,0,0
United States,7,7,1,0.14285714285714285,0.14285714285714285,0.7142857142857143,25,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0
Netherlands,2,2,2,1,1,110,9,0,0,0
China,0,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0
India,1,1,1,1,1,2,4,0,0,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0
(not set),0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0
Isle of Man,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0,0
